25-05-29 00:13:48.943 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.socialsphere.socialsphere.exception.OtpException: Otp verification fail, please try again]
25-05-29 00:14:20.212 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
25-05-29 00:14:20.233 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
25-05-29 00:14:23.915 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
25-05-29 00:14:23.947 [restartedMain] INFO  c.s.s.SocialsphereApplication - Starting SocialsphereApplication using Java 21.0.1 with PID 53505 (/Users/ritiksingh/Desktop/Development Project/socialsphere (Spring boot)/build/classes/java/main started by ritiksingh in /Users/ritiksingh/Desktop/Development Project/socialsphere (Spring boot))
25-05-29 00:14:23.948 [restartedMain] INFO  c.s.s.SocialsphereApplication - No active profile set, falling back to 1 default profile: "default"
25-05-29 00:14:23.975 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
25-05-29 00:14:23.975 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
25-05-29 00:14:24.282 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
25-05-29 00:14:24.304 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 2 MongoDB repository interfaces.
25-05-29 00:14:24.522 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
25-05-29 00:14:24.528 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
25-05-29 00:14:24.528 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
25-05-29 00:14:24.528 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
25-05-29 00:14:24.544 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/user/v1] - Initializing Spring embedded WebApplicationContext
25-05-29 00:14:24.545 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 570 ms
